Cites,Authors,Title,Year,keywords,Affiliations,PapersNum
1,K El Hindi,Conservative Noise Filters,2016,component; Instance Reduction Techniques; Instance-Based Learning; Class noise; Noise Filter; Naive Bayesian; Outlier; False Positive,King Saud University,
1,K El Hindi,An Ensemble of Fine-Tuned Heterogeneous Bayesian Classifiers,2016,Ensemble classifier; Bayesian Network (BN) classifiers; Fine-tuned BN classifiers; Stacking; Diversity,King Saud University,
1,K El Hindi,Combining Instance Weighting and Fine Tuning for Training Naïve Bayesian Classifiers with Scant data,2016,"Naïve bayesian algorithm, classification, machine learning, noisy data sets, instance weighting",King Saud University,
2,K El Hindi,Fine tuning the tree augmented Naïve Bayes (FTTAN) learning algorithm,2015,"Bayesian Network (BN) , Tree Augmented Naïve Bayes (TAN) , fine tuning , Classification accuracy , TAN models",King Saud University,
22,K El Hindi,A noise tolerant fine tuning algorithm for the Naïve Bayesian learning algorithm,2014,"Machine learning, Naive Bayesian learning, Noise handling, Overfitting, Instance weighing",King Saud University,
22,K El Hindi,Fine tuning the Naïve Bayesian learning algorithm,2014,"Machine learning, Naïve Bayesian classification, improving estimated probabilities",King Saud University,
12,K El Hindi,Specific-class distance measures for nominal attributes,2013,"Machine learning, instance-based learning, kNN algorithm, lazy learners, distance functions, similarity metrics",King Saud University,
8,K El Hindi,Smoothing decision boundaries to avoid overfitting in neural network training,2011,"Artificial neural network, instance-based learning, instance reduction, instance selection, machine learning, noise filtering, overfitting, over learning, prototype selection",King Saud University,
8,K El Hindi,Eliminating border instance to avoid overfitting,2009,"Artificial Neural Network Training, Machine Learning, Overfitting, Over Learning, Noise Filtering, Instance Reduction",King Saud University,
31,K El Hindi,Training radial basis function networks using reduced sets as center points,2005,"Radial basis function networks, Instance-based reduction, PNN",King Saud University,
0,K El Hindi,Using Interval Trees for Approximate Indexing of Instances,2005,"Instance based learning, interval trees, the knn algorithm, machine learning",King Saud University,
8,K El Hindi,Locating Center Points for Radial Basis Function Networks Using Instance Reduction Techniques,2004,"Radial basis function networks, Instance-based reduction, PNN",King Saud University,
2,K El Hindi,Early-halting criteria for instance-based learning,2003,Nearest neighbor searches,King Saud University,
2,K El Hindi,Using Truth Maintenance Systems to Solve the Data Consistency Problem,1994,Probabilistic Neural Network Sentence Pair Parallel Corpus Punctuation  Document ,King Saud University,
1,K El Hindi,Integrating truth maintenance systems with active database systems for next generation cooperative systems.,1994,Computer software & programming,King Saud University,
1,K El Hindi,Bayesian-based instance weighting techniques for instance-based learners,2012,"Machine Learning, Instance-Based Learning, kNN algorithm, Instance Weighting, Naïve Bayesian",King Saud University,
0,K El Hindi,Fine-Tuning Naïve Bayes for Imbalanced Datasets,2019,"Imbalanced datasets, Intrusion detection, Wireless Sensor Networks (WSNs), Ransomware attack classification, Machine learning",King Saud University,
0,K El Hindi,FUNCTION APPROXIMATION MODELS FOR NON-INTRUSIVE PREDICTION OF VOIP QUALITY,2009,"Regression Trees, Model Trees, Quality of Service, E-Model, Non-Intrusive Voice Quality, VoIP",King Saud University,
0,K El Hindi,Bayesian-Based Instance Weighting For More Noise-Tolerant Instance-Based Learners,2012,"Machine Learning, Instance-Based Learning, kNN algorithm, Instance Weighting, Naïve Bayesian",King Saud University,
0,W Jaziri,Improving the quality of service of real-time database systems through a semantics-based scheduling strategy,2021,"real-time database management system, transactions, quality of service, QoS, user satisfaction, scheduling, feedback control, aggregation links, semantic links, AEDF-TAL-DSL, simulation",Taibah University,
2,W Jaziri,A preventive approach for consistent OWL 2 DL ontology versions,2019,"A Priori Approach, Change Kits, Consistency Rules, Evolution, Inconsistency, MCS, MSPS, OWL 2 DL Ontology",Taibah University,
1,W Jaziri,Efficient management and storage of a multiversion OWL 2 DL domain ontology,2019,"evolution history , inconsistency , OWL 2 DL ontology , semantics, storage support, versioning",Taibah University,
0,W Jaziri,Considering the Context and Patient's Profile to Support Ubiquitous Healthcare Systems,2019,"user profile , context , ontology , semantics-based approach , healthcare , patient profile",Taibah University,
6,W Jaziri,How to repair inconsistency in OWL 2 DL ontology versions?,2018,"OWL 2 DL ontology,Evolution,Inconsistency,A priori approach",Taibah University,
6,W Jaziri,A novel algorithm for fully automated mapping of geospatial ontologies,2018,"Geospatial ontologies , Ontologies integration , Semantic mapping , Topological mapping , Spatial mapping",Taibah University,
5,W Jaziri,Overview and reflexion on OWL 2 DL ontology consistency rules,2017,OWL 2 DL Ontology; Inconsistency Prevention; Consistency Rules,Taibah University,
5,W Jaziri,A hybrid storage strategy to manage the evolution of an OWL 2 DL domain ontology,2017,"OWL 2 DL ontology,Hybrid storage approach, Reference ontology, TOODB",Taibah University,
3,W Jaziri,Using GIS and multicriteria decision aid to optimize the direction of trees cutting in the forest ecosystem: A case study,2017,"GISO ,ptimization,Forest ecosystem,Direction of trees’ cutting,Cost-effective,Ecologically-aware",Taibah University,
1,W Jaziri,OWL 2 DL ontology inconsistencies prediction,2017,"OWL 2 DL Ontology, Predictive Algorithms, Inconsistency Prevention",Taibah University,
1,W Jaziri,GeOnt: geo-ontologies integration tool,2017,"geo-ontology integration, mapping, matching, integration rules, GeOnt",Taibah University,
0,W Jaziri,Automated mapping for geospatial ontologies integration,2017,"Geospatial ontologies , semantic mapping, topological mapping,  spatial mapping, integration",Taibah University,
5,W Jaziri,Supporting ontology adaptation and versioning based on a graph of relevance,2016,changing environment; ontology; adaptation; versioning; relevance; graph,Taibah University,
4,W Jaziri,Scheduling approach for enhancing quality of service in real-time DBMS,2016,"Real-Time Database Management Systems ,Transaction ,Scheduling, Feedback control ,Quality of Service ",Taibah University,
8,W Jaziri,Using Temporal Versioning and Integrity Constraints for Updating Geographic Databases and Maintaining Their Consistency,2015,"Consistency, Geographic Database, GeoVersioning, Integrity Constraints, Versioning",Taibah University,
1,W Jaziri,Toward the Foundation of Building Geographic Ontologies,2015,"Geographic ontologies, building ontologies, specialization , meta-modeling, modeling , OntoRoad",Taibah University,
7,W Jaziri,Approche de couplage de BD et d'ontologie pour l'aide à la décision sémantique. Contribution pour la satisf action des requêtes SQL et SPARQL.,2013,"Coupling, Database, Ontology, Query reformulation, SQL, SPARQL",Taibah University,
4,W Jaziri,A framework to model and manipulate constraints for over-constrained geographic applications,2013,"Geographic Information Systems , Over-constrained problems , Stakeholders’ constraints , Constraints relaxation and manipulation , Geographic applications",Taibah University,
0,W Jaziri,Using adaptable SPARQL to manipulate and to retrieve domain ontologies: application to social intelligence domain,2013,"SOA, ontology, aspect, adaptability, SPARQL, social web intelligence",Taibah University,
30,W Jaziri,Approach and tool to evolve ontology and maintain its coherence,2010,"ontology evolution, changes, coherence, additional operations, Tunisia, higher education",Taibah University,
29,W Jaziri,"Ontology Theory, Management and Design: Advanced Tools and Models",2010,"ontology evolution, changes, coherence, additional operations, Tunisia, higher education",Taibah University,
12,W Jaziri,"Ontology theory, management and design: an overview and future directions",2010,"ontology evolution, changes, coherence, additional operations, Tunisia, higher education",Taibah University,
10,W Jaziri,From temporal databases to ontology versioning: an approach for ontology evolution,2010,"ontology evolution, changes, coherence, additional operations, Tunisia, higher education",Taibah University,
2,W Jaziri,SOIT: Spatial Ontologies Integration Tool and its Application to the Road Domain,2010,Spatial ontologies; SOIT; Integration tool; Geographic Information systems; Road domai,Taibah University,
26,W Jaziri,A methodology for ontology evolution and versioning,2009,"Ontology versioning , temporal databases , evolution changes , OntoChanges tool",Taibah University,
5,W Jaziri,A proposal for a geographic ontology merging methodology,2009,"geographic ontology , merging , matching , mapping , identity relationship , enrichment relationship",Taibah University,
3,W Jaziri,Z-based Formalization of Kits of Changes to Maintain Ontology Consistency.,2009,"Changing Environment, Ontology, Coherence, Kits of Change, Z language",Taibah University,
1,W Jaziri,Anticipatory approach to maintain consistency in ontology versions,2009,"Ontology versions , inconsistencies , corrective operations",Taibah University,
8,W Jaziri,Formalisation of evolution changes to update domain ontologies,2008,"Ontology, evolution process, formalization, evolution changes, integration of new knowledge",Taibah University,
7,W Jaziri,Local search techniques: focus on tabu search,2008,hybrid approaches; genetic algorithm; optimization; tabu search,Taibah University,
12,W Jaziri,Types de changements et leurs effets sur l’évolution de l’ontologie,2007,"Ontology, evolution, integration , connaissances, types  changements",Taibah University,
3,W Jaziri,Multiscale optimization for the management of runoff risks in agricultural watersheds,2007,"Digital terrain model (DTM) , multiscale optimization , parcels , runoff criteria , simulation",Taibah University,
2,W Jaziri,Finding optimal directions for forest trees harvesting using GIS-based techniques,2007,"Geographic Information System ,Spatial decision aid support , Ecological optimization ,Forest ecosystem management ,Reduced impact logging ",Taibah University,
9,W Jaziri,A multi-agent model and Tabu search optimization to manage agricultural territories,2006,"multi-agent model, tabu search optimization , simulation of runoff, spatial distribution of crops",Taibah University,
7,W Jaziri,Heuristics for building forest roads,2005,"méthode, Route, Aménagement forestier, Analyse économique",Taibah University,
7,W Jaziri,Knowledge modelling and multi-agent simulation: Application to flood risks,2002,"knowledge modclling, multi-agent model, simulation, flood risks",Taibah University,
3,W Jaziri,Multi-level optimization strategy for the prevention of run-off risks,2002,"Mulfi-level opfim'zotion, run-off risks, fragmentary, digital ferrain model, cdlular curtomaion, multi-agcnf model",Taibah University,
17,W Alsalih,RFID localization using angle of arrival cluster forming,2014,"Next generation network, RFID, sensors, customer relationship management,cluster",King Saud University,
4,W Alsalih,Load-aware Reader Placement Algorithms for RFID Networks,2014,"RFID, approximation algorithms, load balancing, reader placement, set cover",King Saud University,
100,W Alsalih,A priced public sensing framework for heterogeneous IoT architectures,2013,"Wireless sensor networks , public sensing , Internet of Things , heuristic algorithms , utility functions",King Saud University,
73,W Alsalih,A delay-tolerant framework for integrated RSNs in IoT,2013,"IoT,Delay-tolerant networks,RFIDs,Wireless sensor networks,Optimization",King Saud University,
17,W Alsalih,A power control technique for anti-collision schemes in RFID systems,2013,"RFID,Anti-collision",King Saud University,
9,W Alsalih,Towards augmenting federated wireless sensor networks in forestry applications,2013,"Wireless sensor network , Sparse connectivity  ,Relay placement  ,Grid deployment ,Environmental applications",King Saud University,
4,W Alsalih,Performance analysis of contention access period of IEEE 802.15. 3 MAC protocol,2013,IEEE 802.15.3; CSMA/CA protocol; TDMA protocol; CAP; performance evaluation; simulation; contention access period; MAC protocol; medium access control; Internet of Things; IoT; wireless PANs; personal area networks; WPANs; wireless networks; channel time allocation period; CTAP,King Saud University,
3,W Alsalih,Discrete power-based Distance Clustering for anti-collision schemes in RFID systems,2013,"Radiofrequency identification , Clustering algorithms , Delays , Heuristic algorithms , Wireless communication , Conferences , Optimization",King Saud University,
3,W Alsalih,Reciprocal public sensing for integrated RFID-Sensor Networks,2013,"RFID , WSN , delay , lifetime , reciprocal agreement",King Saud University,
0,W Alsalih,On Secure and Power-Efficient RFID-Based Wireless Body Area Network,2013,"IEEE 802.15.6 ,WBAN ,RFID ,Security ",King Saud University,
23,W Alsalih,A review of tags anti-collision and localization protocols in RFID networks,2012,"RFID, Anti-collision, Localization, Applications, Survey",King Saud University,
17,W Alsalih,Coverage-based placement in RFID networks: An overview,2012,"RFID , placement , coverage , redundancy elimination",King Saud University,
10,W Alsalih,A novel wireless sensor and actor network framework for autonomous monitoring and maintenance of lifeline infrastructures,2012,"Wireless sensor and actor network , Autonomous monitoring and maintenance , Leakage detection",King Saud University,
5,W Alsalih,Towards augmented connectivity in federated wireless sensor networks,2012,"Outdoor Wireless Sensor Network (OWSN) , Federated OWSN , Cost , Harsh environments , Relays placement",King Saud University,
45,W Alsalih,Optimized relay placement for wireless sensor networks federation in environmental applications,2011,wireless sensor network (WSN); connectivity; relay placement; grid deployment; environmental applications,King Saud University,
32,W Alsalih,Using neighbor and tag estimations for redundant reader eliminations in RFID networks,2011,"redundant reader elimination , RFID tag estimation , greedy algorithm",King Saud University,
22,W Alsalih,Set-Cover approximation algorithms for load-aware readers placement in RFID networks,2011,"RFID, approximation algorithms, load balancing, readers placement, set cover",King Saud University,
58,W Alsalih,Placement of multiple mobile data collectors in wireless sensor networks,2010,"Sensor networks, Mobile data collectors.Placement",King Saud University,
32,W Alsalih,Routing to a mobile data collector on a predefined trajectory,2009,Traffic control; Software Defined Multiple Access; Wireless traffic models; Traffic Predictions; Dynamic Spectrum Sharing; 5G networks,King Saud University,
52,W Alsalih,Placement of multiple mobile data collectors in underwater acoustic sensor networks,2008,underwater acoustic sensor networks; placement; routing; mobile data collectors,King Saud University,
47,W Alsalih,Distributed voronoi diagram computation in wireless sensor networks.,2008,"Sensor Networks, Voronoi diagram, Delaunay triangulation, convex hull, distributed algorithm, Computational Geometry",King Saud University,
29,W Alsalih,Optimal distance-based clustering for tag anti-collision in RFID systems,2008,"delays , mathematical analysis , pattern clustering , radiofrequency identification , trees (mathematics)",King Saud University,
13,W Alsalih,A distributed algorithm for computing voronoi diagram in the unit disk graph model,2008, graph model,King Saud University,
11,W Alsalih,Delay constrained placement of mobile data collectors in underwater acoustic sensor networks,2008,"mobile communication , underwater acoustic communication , underwater acoustic propagation",King Saud University,
6,W Alsalih,Cooperative ad hoc computing: towards enabling cooperative processing in wireless environments,2008,"Ad hoc computing,Task scheduling,Task allocation,Wireless networks,Energy management",King Saud University,
47,W Alsalih,Placement of multiple mobile base stations in wireless sensor networks,2007,"wireless sensor networks, integer programming,linear programming,mobile radio,protocols",King Saud University,
37,W Alsalih,Energy-aware task scheduling: Towards enabling mobile computing over manets,2005,"mobile computing , ad hoc networks , scheduling , resource allocation , energy conservation",King Saud University,
5,W Alsalih,Energy-aware task allocation over MANETs,2005,"Mobile Ad-hoc Computing, Energy-Aware Design, Task Allocation, MANET, Power Management",King Saud University,
1,W Alsalih,Energy-aware task scheduling.,2004,"COMPUTER SCIENCE , ENGINEERING, ELECTRONICS AND ELECTRICAL",King Saud University,
6,W Alsalih,Towards Enabling Mobile Computing over MANETs,2005,"mobile radio , ad hoc networks , energy conservation , power consumption , greedy algorithms",King Saud University,
0,W Alsalih,Placement of multiple mobile base stations in wireless sensor,2007,"integer programming , linear programming , mobile radio , protocols , telecommunication network routing , telecommunication network topology , wireless sensor networks",King Saud University,
0,W Aljedaibi,Towards Measuring the Project Management Process During Large Scale Software System Implementation Phase.,2019,"Enterprise Resource Planning Systems (ERPs), Critical Success Factors (CSF), Measurement, Goal/Question/Metric paradigm (GQM), Software Project Management",King Abdulaziz University,
3,W Aljedaibi,Capability maturity model integration for beginners,2017,"CMMI, Capability, Maturity, software process, quality",King Abdulaziz University,
2,W Aljedaibi,ATAM-based architecture evaluation using LOTOS formal method,2017,"ATAM, Architecture, LOTOS, CADP, Software Quality Attributes Evaluation, Software Quality Assurance",King Abdulaziz University,
3,W Aljedaibi,A framework for measuring critical success factors of large-scale software systems,2016,"ERP, Critical Success Factors (CSF), Measurement, GQM, data accuracy, top management support, project management",King Abdulaziz University,
2,V Thayananthan,A Secure Lightweight Mutual Authentication and Message Exchange Protocol for IoT Environments Based on the Existence of Active Server,2020,"IoT , Lightweight, Mutual authentication, Cryptographic, Cybersecurity ,Message exchange",King Abdulaziz University,
1,V Thayananthan,RST invariant watermarking technique for vector map based on LCA-Transform.,2020,copyright protection; geometric attacks; linear cellular automata transform (LCAT); transform watermarking; vector map,King Abdulaziz University,
0,V Thayananthan,A new vector map watermarking technique in frequency domain based on LCA-transform,2020,"Copyright protection , Vector map , Robust watermarking , Linear cellular automata transform (LCAT) , Least significant bit (LSB)",King Abdulaziz University,
0,V Thayananthan,Bandwidth Control Mechanism and Extreme Gradient Boosting Algorithm for Protecting Software-Defined Networks Against DDoS Attacks,2020,"Bandwidth, distributed denial-of-service (DDoS) attack, extreme gradient boosting (XGBoost) algorithm, security, software-defined networking (SDN)",King Abdulaziz University,
0,V Thayananthan,Community detection in networks using graph embeddings,2020," Networks, community detection, embedding",King Abdulaziz University,
0,V Thayananthan,Invisibility and Fidelity Vector Map Watermarking Based on Linear Cellular Automata Transform,2020,"Copyright protection , Vector map, Invisibility ,Fidelity ,Linear cellular automata transform",King Abdulaziz University,
0,V Thayananthan,Dummy-Based Approach for Protecting Mobile Agents Against Malicious Destination Machines,2020,"Agent, attack, destination machine, dummy, home machine, task",King Abdulaziz University,
12,V Thayananthan,Fast consensus clustering in complex networks,2019,"Networks, consensus clustering",King Abdulaziz University,
5,V Thayananthan,A Lightweight Blockchain Based Cybersecurity for IoT environments,2019,"Blockchain , cybersecurity , IoT , lightweight , consensus-algorithm",King Abdulaziz University,
5,V Thayananthan,"A Survey: Agent-Based Software Technology Under the Eyes of Cyber Security, Security Controls, Attacks, and Challenges",2019,agent; attack; cyber; security; requirement; maturity; protection goals,King Abdulaziz University,
4,V Thayananthan,Copyright Protection and Content Authentication Based on Linear Cellular Automata Watermarking for 2D Vector Maps,2019,"Reversible watermarking ,RST invariance attacks ,Linear cellular automata, 2D vector map, Copyright protection , Content authentication",King Abdulaziz University,
3,V Thayananthan,Fragile Watermarking based on Linear Cellular Automata using Manhattan Distances for 2D Vector Map,2019,Reversible watermarking; fragile watermarking; linear cellular automata; Manhattan distances; vector map,King Abdulaziz University,
3,V Thayananthan,BL0K: A New Stage of Privacy-Preserving Scope for Location-Based Services,2019,privacy; location-based services; bloom filter; zero-knowledge proof; BL0K,King Abdulaziz University,
2,V Thayananthan,IBMSDC: Intelligent Blockchain based Management System for protecting Digital Currencies Transactions,2019,"Digital Currencies , Blockchain , smart contract , decision-making , Digital Fiat Currency , Cryptographic",King Abdulaziz University,
1,V Thayananthan,Risk-Based Decision Methods for Vehicular Networks,2019,decision methods; risk methods; vehicular networks,King Abdulaziz University,
1,V Thayananthan,Healthcare Management using ICT and IoT based 5G,2019,Information communication technology; e_Health; customer relationship management; Radio Frequency Identification (RFID); Internet of Things based fifth generation (IoT based 5G),King Abdulaziz University,
1,V Thayananthan,Internet of Things based 5G Infrastructure for Securing Transportation Facilities in Smart Cities,2019,Security; IoT; 5G based infrastructure; Smart cities; Transportation,King Abdulaziz University,
0,V Thayananthan,A Secure Lightweight Mutual Authentication and Message Exchange Protocol for IoT Environments Based on the Existence of Active Server,2019,"IoT, Lightweight ,Mutual authentication, Cryptographic ,Cybersecurity ,Message exchange ",King Abdulaziz University,
0,V Thayananthan,Trust evaluation wireless network for routing data packets,2019,"Security, Vulnerability, Model, Taxonomy, Wireless Sensor Networks",King Abdulaziz University,
0,V Thayananthan,Analysis of Energy Efficiency for MIMO Wireless Network using Manifold Techniques.,2019,"wireless network, Pn-manifold, MIMO network, energy efficiency, feedback",King Abdulaziz University,
0,V Thayananthan,DATA TRAFFIC CONTROL OVER 5G NETWORKS USING SOFTWARE-DEFINED MULTIPLE ACCESS,2019,Traffic control; Software Defined Multiple Access; Wireless traffic models; Traffic Predictions; Dynamic Spectrum Sharing; 5G networks,King Abdulaziz University,
0,V Thayananthan,Analysis of Security Gaps in 5G Communication using LDPC Codes and NOMA,2019,"LDPC coding, Parity check matrix, security gap, NOMA 5G communication",King Abdulaziz University,
0,V Thayananthan,Secure Cyber-Physical Systems for Improving Transportation Facilities in Smart Cities and Industry 4.0,2019,"Security, Vulnerability, Model,Wireless Sensor Networks, Smart Cities ",King Abdulaziz University,
18,V Thayananthan,"A novel and secure smart parking management system (SPMS) based on integration of WSN, RFID, and IoT",2018,"WSN , RFID , IoT , SPS , Cyber Security , Fog Computing",King Abdulaziz University,
5,V Thayananthan,Computer Security and Software Watermarking Based on Return-oriented Programming.,2018,"Computer security, Software watermark, Gadgets, Return-oriented programming and Secure Hash Algorithm",King Abdulaziz University,
5,V Thayananthan,Analytical techniques for decision making on information security for big data breaches,2018,Analytical techniques; big-data breaches; decision making; information security; service rate,King Abdulaziz University,
2,V Thayananthan,Estimating data traffic through software-defined multiple access for IoT applications over 5G networks,2018,"Estimated Data Traffic , Software-Defined Multiple Access , IoT , 5G networks",King Abdulaziz University,
1,V Thayananthan,Access management and Data path prediction for securing cloud-based services and enhancing cybersecurity solutions,2018,"Machine to machine communication, Machine type communication, Cyber Security, Internet of things",King Abdulaziz University,
1,V Thayananthan,A SURVEY: THE CURRENT TRENDS OF PRIVACY TECHNIQUES FOR PROTECTING THE LOCATION PRIVACY OF USERS IN LBS.,2018," Privacy, Bloom filter, LBS, Oblivious transfer, Dummy locations, Zero knowledge",King Abdulaziz University,
1,V Thayananthan,PRIVACY-PRESERVING QUERIES FOR LBS: INDEPENDENT SECURED HASH FUNCTION.,2018,privacy; bloom filter; LBS; mobile user; hash function; independent.,King Abdulaziz University,
1,V Thayananthan,Traffic Predicting Model for Dynamic Spectrum Sharing Over 5G Networks,2018,Component; traffic predictions; software defined multiple access; dynamic spectrum sharing; 5G networks,King Abdulaziz University,
1,V Thayananthan,BLOT: A Novel Phase Privacy Preserving Framework for Location-Based Services,2018,Privacy; location-based services (LBS); oblivious transfer; BLoom Filter Oblivious Transfer (BLOT); bloom filter,King Abdulaziz University,
0,V Thayananthan,Cyber Security and Privacy-Preserving Analysis for ITSs based on SHF in a continuous query,2018,ITSs; Cyber Security; Continuous queries,King Abdulaziz University,
0,V Thayananthan,Big Data Security Issues and Quantum Cryptography for Cloud Computing,2018,Big data security; PairHand protocol; Key Management; Quantum cryptography; Cloud services,King Abdulaziz University,
5,V Thayananthan,Analysis of cybersecurity based on Li-Fi in green data storage environments,2017,Green data storage; green cloud computing; LiFi; green data center; cybersecurity issues; industrial network,King Abdulaziz University,
3,V Thayananthan,Saudi license plate recognition system using artificial neural network classifier,2017,"Saudi Licence Plate, Pattern Recognition, BiLinear Interpolation, Image Processing, ANN, OCR",King Abdulaziz University,
3,V Thayananthan,Software watermarking based on return-oriented programming for computer security,2017,"Computer security,  Software watermark,  Return-oriented programming and Secure Hash Algorithm",King Abdulaziz University,
2,V Thayananthan,Integration of wearable smart sensor for improving e-healthcare,2017,Smart sensors; miniaturized devices; e-healthcare applications; MIMO; manifolds,King Abdulaziz University,
1,V Thayananthan,Analysis of Cybersecurity based on Li-Fi in green data storage and cloud computing for industrial networking,2017,Green data storage; green cloud computing; LiFi; green data center; cybersecurity issues; industrial network,King Abdulaziz University,
1,V Thayananthan,RFID of next generation network for enhancing customer relationship management in healthcare industries,2017,"Next generation network, RFID, sensors, customer relationship management, e-Health",King Abdulaziz University,
0,V Thayananthan,Relevance of Energy Efficiency Gain in Massive MIMO Wireless Network,2017,Massive MIMO; manifolds; EE gain; feedback; convergence; quantization,King Abdulaziz University,
0,V Thayananthan,A Theoretical Architecture for TM Through Software Defined Mobile Network in 5G Environments,2017,"TM , Software-defined multiple access ,5G networks",King Abdulaziz University,
16,V Thayananthan,Analysis of round-robin load-balancing algorithm with adaptive and predictive approaches,2016,"Internet, resource allocation",King Abdulaziz University,
5,V Thayananthan,Contextual Risk-based Decision Modeling for Vehicular Networks,2016,"Decision Method, Risk Management, Vehicle context, Vehicular Networks",King Abdulaziz University,
3,V Thayananthan,Self-Optimized Routing Algorithm for mHealth and Remote Health Monitoring,2016,BODY GATE WAY; MHEALTH; REMOTE HEALTH MONITORING; ROUTING ALGORITHM,King Abdulaziz University,
2,V Thayananthan,Analytical model of enhancing traffic performance based on weighted nodes,2016,Communication networks; shortest path; congestion; routing algorithms; throughput; transmission time; Differential Evolution,King Abdulaziz University,
33,V Thayananthan,Big data security issues based on quantum cryptography and privacy with authentication for mobile data center,2015,Big data security and privacy; Quantum cryptography; PairHand protocol; Key management; Data center,King Abdulaziz University,
8,V Thayananthan,Design of vending machine using finite state machine and visual automata simulator,2015,"Automata Theory, Vending Machine, Nondeterministic Finite State Machine, and VAS",King Abdulaziz University,
8,V Thayananthan,Efficient techniques of key management and quantum cryptography in RFID networks,2015,key management; RFID network; quantum cryptography; block cipher; Grover’s algorithm,King Abdulaziz University,
2,V Thayananthan,Automata Design with Time Complexity for Intelligent Vending Machine based on Visual Automata Simulator,2015,automata theory; finite state machines; vending machine; complexity; visual automata simulator,King Abdulaziz University,
1,V Thayananthan,Hop-by-hop trust evaluation algorithm for identity anonymous sensor networks,2015,"Anonymity,Data quality,Location verification,Routing,Sensor networks,Time verification,Trust evaluation",King Abdulaziz University,
18,V Thayananthan,Enhancement of energy conservation technologies in wireless sensor network,2014,wireless sensor network; solar power; energy efficiency; EECT,King Abdulaziz University,
2,V Thayananthan,Analytical Model of Energy Saving Approach in Wireless Sensor Network,2014,Energy algorithm; routing protocols; manifolds; EE; analytical analysis; WSN,King Abdulaziz University,
2,V Thayananthan,Energy Efficiency with Computational Topology and Routing in Wireless Sensors Networks,2014,"Energy aware algorithms, EE, topologies, CT, routing protocols, ACO, WSN",King Abdulaziz University,
1,V Thayananthan,Information and communication technology (ICT) applications for customer relationship management (CRM),2014,"United Nations, Millennium Development Goal, Customer Relationship Management, Healthcare Industry ,Loyal Customer",King Abdulaziz University,
0,V Thayananthan,Stiefel Manifold and TCQ based on Unit Memory Coding for MIMO System,2014,"Feedback, MIMO system, stiefel manifolds, TCQ, UM coding",King Abdulaziz University,
